fid,wb_name_2,countryname_2,city_2,large_2,nl_average_2,innov_index_2
96,Nigeria,Nigeria,Kaduna,0,47.471264,1.7540984
10,West Bank and Gaza,West Bank And Gaza,Gaza,0,47.495724,0.22047244
146,Ghana,Ghana,Kumasi,0,48.226299,1.6629213
67,Armenia,Armenia,Erevan,0,49.22633,0.36956522
94,Mali,Mali,Bamako,0,50.694916,1.1206896
128,Uganda,Uganda,Kampala,0,51.557144,1.7311475
58,Georgia,Georgia,Tbilisi,0,51.68232,0.66894197
5,Argentina,Argentina,Cordoba,0,51.687622,1.4907408
40,Tajikistan,Tajikistan,Dushanbe,0,51.906071,0.42857143
31,Ukraine,Ukraine,Kyiv,0,52.004482,0.54570639
97,Benin,Benin,Cotonou,0,52.450981,0.47999999
113,Guatemala,Guatemala,Guatemala City,0,53.096951,1.4289618
139,Nepal,Nepal,Kathmandu,0,53.338711,1.4527028
66,Kyrgyz Republic,Kyrgyz Republic,Bishkek,0,53.631889,1.0428015
0,Indonesia,Indonesia,Medan,0,55.154079,0.3018868
70,Tunisia,Tunisia,Tunis,0,55.29306,0.8359375
0,Indonesia,Indonesia,Bandung,0,55.758793,1.0294118
46,Czech Republic,Czech Republic,Prague,0,56.860825,1
112,El Salvador,ElSalvador,San Salvador,0,57.209114,1.02
74,Poland,Poland,Krakov,0,57.694397,0.07692308
83,Sudan,Sudan,Khartoum,0,58.09137,1.130137
31,Ukraine,Ukraine,Kharkiv,0,58.110989,0.57943922
0,Indonesia,Indonesia,Surabaya,0,58.340103,0.15384616
38,Uzbekistan,Uzbekistan,Tashkent,0,58.977001,0.34323433
26,Costa Rica,Costarica,San Jose,0,59,1.6
60,Albania,Albania,Tirana,0,59.051895,0.22513089
138,Jordan,Jordan,Amman,0,59.082645,0.4861111
134,Paraguay,Paraguay,Asuncion,0,59.143044,1.3876652
72,Hungary,Hungary,Budapest,0,59.877617,0.43930635
39,Kazakhstan,Kazakhstan,Almaty,0,60.132545,0.62385321
77,Greece,Greece,Athens,0,60.399597,0.53571427
0,Indonesia,Indonesia,Tangerang,0,60.522934,0.59574467
48,Estonia,Estonia,Tallinn,0,60.552032,0.86614174
95,Senegal,Senegal,Dakar,0,60.563107,1.3107345
156,"Egypt, Arab Republic of",Egypt,Giza,0,60.657711,0.36399218
146,Ghana,Ghana,Accra,0,60.664635,1.4609929
74,Poland,Poland,Warsaw,0,61.063633,0.65467626
109,Dominican Republic,DominicanRepublic,Santo Domingo,0,62.220184,0.65384614
71,Romania,Romania,Bucharest,0,62.397152,0.91052634
11,Lebanon,Lebanon,Beirut,0,62.74176,0.72027969
1,Malaysia,Malaysia,Kuala Lumpur,0,62.996857,1.1153846
135,Portugal,Portugal,Lisbon,0,63,0.66666669
156,"Egypt, Arab Republic of",Egypt,Shubra El Kheima,0,63,0.39622641
7,India,India,Kolkata,0,63,1.0842912
